player_id,player_name,draft_year,draft_pick,draft_round,draft_team,college_name,birth_date,age_at_draft,height_in,weight_lb,position,has_college_stats,coll_season,coll_class,coll_pos,coll_conf,coll_g,coll_mp_per_g,coll_pts_per_g,coll_trb_per_g,coll_ast_per_g,coll_stl_per_g,coll_blk_per_g,coll_tov_per_g,coll_fg_pct,coll_fg3_pct,coll_ft_pct,coll_efg_pct,coll_per,coll_ts_pct,coll_usg_pct,coll_bpm,career_seasons,career_g,career_ws,career_ws_per_48,career_bpm,career_vorp,peak_bpm,window_seasons,early_vorp_sum,early_bpm_mean,early_ws_sum,early_per_mean,outcome_tier
barbole01,Leandro Barbosa,2003,28,1,SAS,,1982-11-28,20.57,75.0,194.0,SG,False,,,,,,,,,,,,,,,,,,,,,14.0,850.0,37.4,0.098,-0.2,8.6,2.7,5,5.9,0.1,21.2,14.96,starter
howarjo01,Josh Howard,2003,29,1,DAL,Wake Forest,1980-04-28,23.16,79.0,210.0,SF,True,2002-03,SR,F,ACC,31.0,32.3,19.5,8.3,1.9,2.1,1.5,2.6,0.477,0.373,0.833,0.539,,0.593,28.0,,10.0,507.0,38.0,0.119,0.6,10.0,3.1,5,10.2,1.52,33.4,17.82,all_star
lampema01,Maciej Lampe,2003,30,1,NYK,,1985-02-05,18.38,83.0,275.0,C,False,,,,,,,,,,,,,,,,,,,,,3.0,64.0,-0.2,-0.014,-7.0,-0.8,-4.8,5,-1.4,-9.42,-0.4,5.68,bust
kaponja01,Jason Kapono,2003,31,2,CLE,UCLA,1981-02-04,22.39,80.0,213.0,SG,True,2002-03,SR,F,Pac-10,29.0,33.4,16.8,5.2,2.0,0.6,0.0,2.1,0.457,0.398,0.88,0.543,,0.583,23.3,,9.0,509.0,10.3,0.055,-2.6,-1.3,-0.5,5,0.1,-2.2,9.1,11.12,bust
waltolu01,Luke Walton,2003,32,2,LAL,Arizona,1980-03-28,23.24,80.0,235.0,PF,True,2002-03,SR,F,Pac-10,28.0,27.6,10.8,5.6,5.1,0.9,0.3,2.8,0.42,0.384,0.678,0.475,,0.508,21.4,,10.0,564.0,13.5,0.067,-1.0,2.5,0.9,5,2.8,-0.34,11.1,12.54,rotation
beaslje01,Jerome Beasley,2003,33,2,MIA,University of North Dakota,1980-05-17,23.11,82.0,237.0,PF,False,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,-0.117,-5.2,0.0,-5.2,1,0.0,-5.2,0.0,5.9,bust
schorso01,Sofoklis Schortsanitis,2003,34,2,LAC,,1985-06-22,18.01,82.0,345.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
szewcsz01,Szymon Szewczyk,2003,35,2,MIL,,1982-12-21,20.51,82.0,242.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,bust
austima01,Mario Austin,2003,36,2,CHI,Mississippi State,1982-02-26,21.33,81.0,264.0,,True,2002-03,JR,F,SEC,25.0,32.9,15.5,7.7,1.2,1.1,0.7,2.4,0.534,0.417,0.664,0.543,,0.571,,,,,,,,,,0,,,,,bust
hansetr01,Travis Hansen,2003,37,2,ATL,BYU,1978-04-15,25.2,78.0,205.0,SF,True,2002-03,SR,G,MWC,32.0,32.0,16.8,4.8,2.4,0.9,0.6,2.6,0.441,0.34,0.799,0.488,,0.559,28.8,,1.0,41.0,0.2,0.019,-6.2,-0.5,-6.2,1,-0.5,-6.2,0.2,7.2,bust
blakest01,Steve Blake,2003,38,2,WAS,Maryland,1980-02-26,23.33,75.0,172.0,PG,True,2002-03,SR,G,ACC,31.0,32.5,11.6,3.7,7.1,1.6,0.2,3.2,0.415,0.416,0.819,0.531,,0.572,19.1,,13.0,870.0,29.1,0.067,-1.2,4.2,1.5,5,-0.4,-2.78,5.8,10.1,starter
vranesl01,Slavko Vraneš,2003,39,2,NYK,,1983-01-30,20.4,89.0,275.0,C,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,-0.371,-26.2,0.0,-26.2,1,0.0,-26.2,0.0,-20.4,bust
zimmede01,Derrick Zimmerman,2003,40,2,GSW,Mississippi State,1981-12-02,21.56,75.0,195.0,PG,True,2002-03,SR,G,SEC,31.0,33.0,8.9,4.2,5.5,1.9,0.8,3.4,0.476,0.288,0.649,0.512,,0.543,,,1.0,2.0,0.0,0.004,-10.4,-0.1,-10.4,1,-0.1,-10.4,0.0,5.5,bust
greenwi01,Willie Green,2003,41,2,SEA,Detroit Mercy,1981-07-28,21.91,76.0,200.0,SG,True,2002-03,SR,G,Horizon,30.0,34.0,22.6,4.9,2.5,1.3,0.4,2.3,0.49,0.374,0.805,0.527,,0.576,33.7,,12.0,731.0,12.9,0.042,-2.7,-2.7,-0.5,5,-2.1,-4.06,1.4,10.42,bust
